"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
8,8,8,6,0,38,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,39,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,40,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,41,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,42,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,43,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,44,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,45,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,46,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,47,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,48,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,49,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,50,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,51,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,52,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,53,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,54,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,55,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,56,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,57,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,58,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,59,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,60,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,61,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,62,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,63,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,64,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,65,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,66,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,67,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,68,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,69,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,70,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,71,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,72,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,73,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,74,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,75,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,76,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,77,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,78,1,0,0.609375,0.671875,0.3046875,0.294921875,"; ; 1.41220093 % of all edit distance cells or 1851 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,6,0,79,1,0,0.609375,0.921875,0.291015625,0.2890625,"; ; 1.40075684 % of all edit distance cells or 1836 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
