"n_groups","n_individuals","n_calls_per_level","group_information","individual_information","iteration","group_information_proportion","individual_information_proportion","accuracy_SPCC_group","accuracy_edit_group","accuracy_mean_SPCC_individual","accuracy_mean_edit_individual","notes"
8,8,8,0,6,39,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,40,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,41,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,42,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,43,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,44,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,45,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,46,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,47,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,48,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,49,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,50,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,51,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,52,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,53,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,54,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,55,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,56,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,57,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,58,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,59,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,60,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,61,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,62,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,63,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,64,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,65,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,66,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,67,0,1,0.28125,0.28125,0.5078125,0.646484375,"; ; 0.16860962 % of all edit distance cells or 221 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,68,0,1,0.28125,0.265625,0.486328125,0.70703125,"; ; 0.15792847 % of all edit distance cells or 207 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
8,8,8,0,6,69,0,1,0.3125,0.3125,0.462890625,0.62109375,"; ; 0.16555786 % of all edit distance cells or 217 unique comparisons off of the diagonal had an original edit distance value of 0 and were changed to the next minimum edit distance value of 0.1"
